id,question_id,question_slug,author,answer_text,background_text,language,source,source_question,source_note,use_in_background
1,1,motto,"Marcel Proust, 16","Любимое изречение - то, которое нельзя резюмировать (или пересказать вкратце), поскольку его наиболее простое выражение представляет собой всё, что есть самого лучшего, красивого и великого в природе.","Любимое изречение - то, которое нельзя резюмировать (или пересказать вкратце), поскольку его наиболее простое выражение представляет собой всё, что есть самого лучшего, красивого и великого в природе.",ru,Анкета Пруста N1,Ваше любимое изречение?,Оригинальный вопрос был про любимое изречение.,true
2,1,motto,"Marcel Proust, 19","Я предпочитаю его не раскрывать, чтобы он не принёс мне несчастья.","Я предпочитаю его не раскрывать, чтобы он не принёс мне несчастья.",ru,Анкета Пруста N2,,,true
3,2,current_state,"Marcel Proust, 19","Досада, что пришлось так долго размышлять о себе, чтобы ответить на все эти вопросы.","Досада, что пришлось так долго размышлять о себе, чтобы ответить на все эти вопросы.",ru,Анкета Пруста N2,,,true
4,3,favorite_color,"Marcel Proust, 16",Я люблю все цвета.,Я люблю все цвета.,ru,Анкета Пруста N1,Ваш любимый цвет и цветок?,Ответ разделен между цветом и цветком.,true
5,3,favorite_color,"Marcel Proust, 19","Красота заключается не в одном цвете, а в их гармонии.","Красота заключается не в одном цвете, а в их гармонии.",ru,Анкета Пруста N2,,,true
6,4,favorite_occupation,"Marcel Proust, 16","Читать, мечтать, заниматься поэзией, историей, посещать театр.","Читать, мечтать, заниматься поэзией, историей, посещать театр.",ru,Анкета Пруста N1,,,true
7,4,favorite_occupation,"Marcel Proust, 19",Любить.,Любить.,ru,Анкета Пруста N2,,,true
8,5,desired_ability,"Marcel Proust, 19",Сила воли и умение очаровывать.,Сила воли и умение очаровывать.,ru,Анкета Пруста N2,,,true
9,6,desired_self,"Marcel Proust, 16","Поскольку этот вопрос неактуален, я бы предпочёл не отвечать на него. В то же самое время, я не отказался бы быть Плинием Младшим.","Поскольку этот вопрос неактуален, я бы предпочёл не отвечать на него. В то же самое время, я не отказался бы быть Плинием Младшим.",ru,Анкета Пруста N1,"Если не собой, то кем Вам хотелось бы быть?",,true
10,6,desired_self,"Marcel Proust, 19","Самим собой - таким, каким меня хотели бы видеть люди, которыми я восхищаюсь.","Самим собой - таким, каким меня хотели бы видеть люди, которыми я восхищаюсь.",ru,Анкета Пруста N2,,,true
11,7,dream_of_happiness,"Marcel Proust, 16","Жить с людьми, которых я люблю, в окружении красивой природы, среди множества книг и музыки, и неподалёку от французского театра.","Жить с людьми, которых я люблю, в окружении красивой природы, среди множества книг и музыки, и неподалёку от французского театра.",ru,Анкета Пруста N1,Ваша идея о счастье?,,true
12,7,dream_of_happiness,"Marcel Proust, 19","Боюсь, что она недостаточно возвышенна, к тому же боюсь разрушить её словами.","Боюсь, что она недостаточно возвышенна, к тому же боюсь разрушить её словами.",ru,Анкета Пруста N2,,,true
13,8,friends_qualities,"Marcel Proust, 19","Нежность по отношению ко мне, при том, что их личности настолько утончённы, что их нежностью стоит дорожить.","Нежность по отношению ко мне, при том, что их личности настолько утончённы, что их нежностью стоит дорожить.",ru,Анкета Пруста N2,,,true
14,9,favorite_writers,"Marcel Proust, 16","Жорж Санд, Огюстен Тьерри.","Жорж Санд, Огюстен Тьерри.",ru,Анкета Пруста N1,,,true
15,9,favorite_writers,"Marcel Proust, 19",Сегодня это Анатоль Франс и Пьер Лоти.,Сегодня это Анатоль Франс и Пьер Лоти.,ru,Анкета Пруста N2,,,true
16,10,favorite_poets,"Marcel Proust, 16",Мюссе.,Мюссе.,ru,Анкета Пруста N1,,,true
17,10,favorite_poets,"Marcel Proust, 19",Бодлер и Альфред де Виньи.,Бодлер и Альфред де Виньи.,ru,Анкета Пруста N2,,,true
18,11,favorite_literary_hero,"Marcel Proust, 16","Те из романов и лирики, которые скорее выражают идеал, чем служат примером для подражания.","Те из романов и лирики, которые скорее выражают идеал, чем служат примером для подражания.",ru,Анкета Пруста N1,Каковы Ваши любимые литературные персонажи?,,true
19,11,favorite_literary_hero,"Marcel Proust, 19",Гамлет.,Гамлет.,ru,Анкета Пруста N2,,,true
20,12,favorite_composers,"Marcel Proust, 16","Моцарт, Гуно.","Моцарт, Гуно.",ru,Анкета Пруста N1,Ваши любимые художники и композиторы?,Ответ разделен между художниками и композиторами.,true
21,12,favorite_composers,"Marcel Proust, 19","Бетховен, Вагнер, Шуман.","Бетховен, Вагнер, Шуман.",ru,Анкета Пруста N2,,,true
22,13,favorite_artists,"Marcel Proust, 16",Мейсонье.,Мейсонье.,ru,Анкета Пруста N1,Ваши любимые художники и композиторы?,Ответ разделен между художниками и композиторами.,true
23,13,favorite_artists,"Marcel Proust, 19","Леонардо да Винчи, Рембрандт.","Леонардо да Винчи, Рембрандт.",ru,Анкета Пруста N2,,,true
24,14,real_life_heroes,"Marcel Proust, 16","Нечто среднее между Сократом, Периклом, Магометом, Мюссе, Плинием Младшим и Огюстеном Тьерри.","Нечто среднее между Сократом, Периклом, Магометом, Мюссе, Плинием Младшим и Огюстеном Тьерри.",ru,Анкета Пруста N1,,,true
25,14,real_life_heroes,"Marcel Proust, 19","Месье Дарлю, месье Бутру.","Месье Дарлю, месье Бутру.",ru,Анкета Пруста N2,,,true
26,15,favorite_names,"Marcel Proust, 19",В каждый данный момент у меня только одно любимое имя.,В каждый данный момент у меня только одно любимое имя.,ru,Анкета Пруста N2,,,true
27,16,forgiven_vices,"Marcel Proust, 16",К частной жизни гениев.,К частной жизни гениев.,ru,Анкета Пруста N1,,,true
28,16,forgiven_vices,"Marcel Proust, 19","К тем, которые мне понятны.","К тем, которые мне понятны.",ru,Анкета Пруста N2,,,true
29,17,most_hated,"Marcel Proust, 16","К людям, которые не чувствуют, что есть добро, которые пренебрегают счастьем любви.","К людям, которые не чувствуют, что есть добро, которые пренебрегают счастьем любви.",ru,Анкета Пруста N1,К чему Вы испытываете отвращение?,,true
30,17,most_hated,"Marcel Proust, 19","То дурное, что есть во мне.","То дурное, что есть во мне.",ru,Анкета Пруста N2,,,true
31,18,main_flaw,"Marcel Proust, 19","Неумение, неспособность «желать».","Неумение, неспособность «желать».",ru,Анкета Пруста N2,,,true
32,19,main_trait,"Marcel Proust, 19","Жажда быть любимым, а точнее, быть обласканным и избалованным, скорее чем служить предметом восхищения.","Жажда быть любимым, а точнее, быть обласканным и избалованным, скорее чем служить предметом восхищения.",ru,Анкета Пруста N2,,,true
33,20,valued_human_qualities,"Marcel Proust, 16","Ум, чувство морали.","Ум, чувство морали.",ru,Анкета Пруста N1,"Качества, которые Вы больше всего цените в мужчине?",Сведено в объединенный вопрос про качества в человеке.,true
34,20,valued_human_qualities,"Marcel Proust, 16","Нежность, естественность, ум.","Нежность, естественность, ум.",ru,Анкета Пруста N1,"Качества, которые Вы больше всего цените в женщине?",Сведено в объединенный вопрос про качества в человеке.,true
35,20,valued_human_qualities,"Marcel Proust, 19",Женственное обаяние.,Женственное обаяние.,ru,Анкета Пруста N2,"Качества, которые Вы больше всего цените в мужчине?",Сведено в объединенный вопрос про качества в человеке.,true
36,20,valued_human_qualities,"Marcel Proust, 19",Добродетели мужчины и искренность в дружбе.,Добродетели мужчины и искренность в дружбе.,ru,Анкета Пруста N2,"Качества, которые Вы больше всего цените в женщине?",Сведено в объединенный вопрос про качества в человеке.,true
37,21,greatest_misfortune,"Marcel Proust, 16",Быть в разлуке с мамой.,Быть в разлуке с мамой.,ru,Анкета Пруста N1,Ваша идея о несчастье?,,true
38,21,greatest_misfortune,"Marcel Proust, 19",Никогда не знать мою маму или бабушку.,Никогда не знать мою маму или бабушку.,ru,Анкета Пруста N2,,,true
39,22,desired_death,"Marcel Proust, 19","Став лучше, чем я теперь, и любимым.","Став лучше, чем я теперь, и любимым.",ru,Анкета Пруста N2,,,true
40,7,dream_of_happiness,Yayoi Kusama,Happiness is when I make a good artwork.,Happiness is when I make a good artwork.,en,Vanity Fair Proust Questionnaire,,,true
41,5,desired_ability,Yayoi Kusama,The talent to be able to paint forever.,The talent to be able to paint forever.,en,Vanity Fair Proust Questionnaire,,,true
42,2,current_state,Yayoi Kusama,"Feeling the final day of my life approaching, I think about becoming a great person, a great artist, and leaving great artworks in this world. I spend every day trying to make all possible efforts that one person can, and I want to do so until this life expires. This is everything that my art has reached. I will keep my struggle to send the message of Yayoi Kusama to future generations until the end of my life.","Feeling the final day of my life approaching, I think about becoming a great person, a great artist, and leaving great artworks in this world. I spend every day trying to make all possible efforts that one person can, and I want to do so until this life expires. This is everything that my art has reached. I will keep my struggle to send the message of Yayoi Kusama to future generations until the end of my life.",en,Vanity Fair Proust Questionnaire,,,true
43,21,greatest_misfortune,Yayoi Kusama,War. My childhood was a miserable one in the days of war. Art has always been my hope and support.,War. My childhood was a miserable one in the days of war. Art has always been my hope and support.,en,Vanity Fair Proust Questionnaire,What do you regard as the lowest depth of misery?,,true
44,9,favorite_writers,Yayoi Kusama,Takuboku Ishikawa.,Takuboku Ishikawa.,en,Vanity Fair Proust Questionnaire,Who is your favorite writer?,,true
45,11,favorite_literary_hero,Yayoi Kusama,I don’t have one.,I don’t have one.,en,Vanity Fair Proust Questionnaire,Who is your favorite hero of fiction?,,true
46,14,real_life_heroes,Yayoi Kusama,Myself.,Myself.,en,Vanity Fair Proust Questionnaire,Who are your heroes in real life?,,true
47,17,most_hated,Yayoi Kusama,Solitude.,Solitude.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
48,22,desired_death,Yayoi Kusama,I would like to die in a way that my art would inspire the generations after. I would like to live till the end of my life in this world filled with endless love and prayers. I am trying to communicate with people through my work in order that they continue to appreciate my art even after I am gone.,I would like to die in a way that my art would inspire the generations after. I would like to live till the end of my life in this world filled with endless love and prayers. I am trying to communicate with people through my work in order that they continue to appreciate my art even after I am gone.,en,Vanity Fair Proust Questionnaire,,,true
49,1,motto,Yayoi Kusama,"The sun, the moon, the earth and stars are also polka dots. They cannot exist alone. Each and every one of us are polka dots. We gather and weave a beautiful pattern of polka dots.","The sun, the moon, the earth and stars are also polka dots. They cannot exist alone. Each and every one of us are polka dots. We gather and weave a beautiful pattern of polka dots.",en,Vanity Fair Proust Questionnaire,,,true
50,7,dream_of_happiness,Cyndi Lauper,"Long walks with my husband. Being with my family. Making music, and writing when songs just fall together. And maybe a cannoli. Just one.","Long walks with my husband. Being with my family. Making music, and writing when songs just fall together. And maybe a cannoli. Just one.",en,Vanity Fair Proust Questionnaire,,,true
51,15,favorite_names,Cyndi Lauper,"Domenica (that’s my mother’s real name), Sparkle (my old dog), Declyn, David. Now, I can say Cynthia. At first I didn’t like Cynthia until my mother explained why she named me that. It was after the English goddess of the moon. How can you go wrong with that?","Domenica (that’s my mother’s real name), Sparkle (my old dog), Declyn, David. Now, I can say Cynthia. At first I didn’t like Cynthia until my mother explained why she named me that. It was after the English goddess of the moon. How can you go wrong with that?",en,Vanity Fair Proust Questionnaire,,,true
52,2,current_state,Cyndi Lauper,Sunny with a chance of rain.,Sunny with a chance of rain.,en,Vanity Fair Proust Questionnaire,,,true
53,21,greatest_misfortune,Cyndi Lauper,Losing my voice.,Losing my voice.,en,Vanity Fair Proust Questionnaire,What do you regard as the lowest depth of misery?,,true
54,9,favorite_writers,Cyndi Lauper,"The Brontë sisters, and I love Maya Angelou, Alice Walker, Lisa See, Haruki Murakami, Patti Smith, and Charles Dickens.","The Brontë sisters, and I love Maya Angelou, Alice Walker, Lisa See, Haruki Murakami, Patti Smith, and Charles Dickens.",en,Vanity Fair Proust Questionnaire,,,true
55,11,favorite_literary_hero,Владимир Познер,Д’Артаньян.,Д’Артаньян.,ru,https://pozneronline.ru/2010/07/5758,,,true
56,19,main_trait,Владимир Познер,Терпение.,Терпение.,ru,https://pozneronline.ru/2010/07/5758,,,true
57,5,desired_ability,Владимир Познер,Умением рисовать.,Умением рисовать.,ru,https://pozneronline.ru/2010/07/5758,Каким бы талантом вы хотели обладать?,,true
58,7,dream_of_happiness,Владимир Познер,"Полностью выразить себя в любви, в детях и в работе.","Полностью выразить себя в любви, в детях и в работе.",ru,https://pozneronline.ru/2010/07/5758,Что для вас предел счастья?,,true
59,5,desired_ability,Donatella Versace,"To sing. I have been surrounded by the most incredible singers my whole life, from Madonna to Prince, Lady Gaga, J.Lo, Beyoncé. To be able to have their talent for just one second would be incredible.","To sing. I have been surrounded by the most incredible singers my whole life, from Madonna to Prince, Lady Gaga, J.Lo, Beyoncé. To be able to have their talent for just one second would be incredible.",en,Vanity Fair Proust Questionnaire,,,true
60,2,current_state,Donatella Versace,"Excited, energized, impatient.","Excited, energized, impatient.",en,Vanity Fair Proust Questionnaire,,,true
61,4,favorite_occupation,Donatella Versace,The one I have right now.,The one I have right now.,en,Vanity Fair Proust Questionnaire,,,true
62,19,main_trait,Donatella Versace,That I get what I want.,That I get what I want.,en,Vanity Fair Proust Questionnaire,What is your most marked characteristic?,,true
63,20,valued_human_qualities,Donatella Versace,Charm and a good body.,Charm and a good body.,en,Vanity Fair Proust Questionnaire,What is the quality you most like in a man?,Сведено в объединенный вопрос про качества в человеке.,true
64,20,valued_human_qualities,Donatella Versace,Strength and power.,Strength and power.,en,Vanity Fair Proust Questionnaire,What is the quality you most like in a woman?,Сведено в объединенный вопрос про качества в человеке.,true
65,8,friends_qualities,Donatella Versace,"Love, compassion, concern, humor, intelligence.","Love, compassion, concern, humor, intelligence.",en,Vanity Fair Proust Questionnaire,,,true
66,11,favorite_literary_hero,Donatella Versace,The Medusa.,The Medusa.,en,Vanity Fair Proust Questionnaire,Who is your favorite hero of fiction?,,true
67,14,real_life_heroes,Donatella Versace,Kids on the street. That’s where you find real energy.,Kids on the street. That’s where you find real energy.,en,Vanity Fair Proust Questionnaire,Who are your heroes in real life?,,true
68,15,favorite_names,Donatella Versace,"Allegra, Daniel.","Allegra, Daniel.",en,Vanity Fair Proust Questionnaire,,,true
69,17,most_hated,Donatella Versace,Intolerance.,Intolerance.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
70,22,desired_death,Donatella Versace,Without me knowing it.,Without me knowing it.,en,Vanity Fair Proust Questionnaire,,,true
71,5,desired_ability,Olivia de Havilland,The gift of coolheadedness or the ability to tap-dance.,The gift of coolheadedness or the ability to tap-dance.,en,Vanity Fair Proust Questionnaire,,,true
72,15,favorite_names,Olivia de Havilland,Alexandra and Alexis.,Alexandra and Alexis.,en,Vanity Fair Proust Questionnaire,,,true
73,4,favorite_occupation,Olivia de Havilland,"Doing cryptic crosswords or, equally, reading tales of mystery and imagination.","Doing cryptic crosswords or, equally, reading tales of mystery and imagination.",en,Vanity Fair Proust Questionnaire,,,true
74,20,valued_human_qualities,Olivia de Havilland,"Clear-sightedness, humor, fairness, fidelity to purpose.","Clear-sightedness, humor, fairness, fidelity to purpose.",en,Vanity Fair Proust Questionnaire,What is the quality you most like in a man?,Сведено в объединенный вопрос про качества в человеке.,true
75,20,valued_human_qualities,Olivia de Havilland,Thoughtfulness.,Thoughtfulness.,en,Vanity Fair Proust Questionnaire,What is the quality you most like in a woman?,Сведено в объединенный вопрос про качества в человеке.,true
76,17,most_hated,Olivia de Havilland,The deception and exploitation of the naive and defenseless.,The deception and exploitation of the naive and defenseless.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
77,22,desired_death,Olivia de Havilland,I would prefer to live forever in perfect health.,I would prefer to live forever in perfect health.,en,Vanity Fair Proust Questionnaire,,Сокращено для фонового использования.,true
78,1,motto,Olivia de Havilland,Dominus Fortissima Turris.,Dominus Fortissima Turris.,la,Vanity Fair Proust Questionnaire,,В источнике дан перевод: God is the strongest tower / God is my tower of strength.,true
79,2,current_state,Baz Luhrmann,I’m oscillating between the joys of playing hooky from responsibilities and a desperate need to take on new creative responsibilities.,I’m oscillating between the joys of playing hooky from responsibilities and a desperate need to take on new creative responsibilities.,en,Vanity Fair Proust Questionnaire,,,true
80,4,favorite_occupation,Baz Luhrmann,"I don’t know, what I do is all I’ve ever done.","I don’t know, what I do is all I’ve ever done.",en,Vanity Fair Proust Questionnaire,,,true
81,19,main_trait,Baz Luhrmann,Storytelling.,Storytelling.,en,Vanity Fair Proust Questionnaire,What is your most marked characteristic?,,true
82,7,dream_of_happiness,Baz Luhrmann,To love and be loved in return.,To love and be loved in return.,en,Vanity Fair Proust Questionnaire,,,true
83,9,favorite_writers,Baz Luhrmann,"Huxley, Garcia Marquez, Shakespeare, Tolstoy, Moliere, Fitzgerald, to name but a few.","Huxley, Garcia Marquez, Shakespeare, Tolstoy, Moliere, Fitzgerald, to name but a few.",en,Vanity Fair Proust Questionnaire,,,true
84,8,friends_qualities,Baz Luhrmann,Loyalty.,Loyalty.,en,Vanity Fair Proust Questionnaire,,,true
85,11,favorite_literary_hero,Baz Luhrmann,I love heroic characters who embody the Greek quality of pothos.,I love heroic characters who embody the Greek quality of pothos.,en,Vanity Fair Proust Questionnaire,Who is your favorite hero of fiction?,,true
86,17,most_hated,Baz Luhrmann,Mediocrity and boredom.,Mediocrity and boredom.,en,Vanity Fair Proust Questionnaire,What is it that you most dislike?,,true
87,1,motto,Baz Luhrmann,A life lived in fear is a life half lived.,A life lived in fear is a life half lived.,en,Vanity Fair Proust Questionnaire,,,true
88,5,desired_ability,Baz Luhrmann,"Beach; the ability to spell.","Beach; the ability to spell.",en,Vanity Fair Proust Questionnaire,,,true
89,15,favorite_names,Baz Luhrmann,Ones that truly evoke people’s character.,Ones that truly evoke people’s character.,en,Vanity Fair Proust Questionnaire,,,true
90,21,greatest_misfortune,Baz Luhrmann,To be unloved and lonely.,To be unloved and lonely.,en,Vanity Fair Proust Questionnaire,What do you regard as the lowest depth of misery?,,true